FHRSID,BusinessName,BusinessType,FullAddress,PostCode,Hygiene,Structural,ConfidenceInManagement
1787411,Juhis Restaurant,Restaurant/Cafe/Canteen,"126 Cowley Road, Oxford, Oxfordshire",OX4 1JE,0,5,0
1019677,Junkyard Golf Club,Restaurant/Cafe/Canteen,"Junkyard Golf, 127 The Westgate, Queen Street",OX1 1PB,5,5,5
1408979,K C Kitchen,Restaurant/Cafe/Canteen,"Unit 19, Suffolk House, 263-265 Banbury Road",OX2 7HN,N/A,N/A,N/A
1056089,Karma Restaurant,Restaurant/Cafe/Canteen,"152 Oxford Road, Cowley, Oxford",OX4 2EA,10,10,10
268500,Kazbar,Restaurant/Cafe/Canteen,"25 - 27 Cowley Road, Oxford, Oxfordshire",OX4 1HP,0,0,0
974650,Kellogg Hub Cafe,Restaurant/Cafe/Canteen,"62 Banbury Road, Oxford, Oxfordshire",OX2 6PN,0,0,0
1659913,KFC,Restaurant/Cafe/Canteen,"3 Windmill Road, Oxford, Oxfordshire",OX3 7BL,0,5,0
269255,KFC,Restaurant/Cafe/Canteen,"Welcome Break Peartree Roundabout, Woodstock Road, Oxford",OX2 8JZ,0,0,0
1724536,KFC - Cornmarket Street,Restaurant/Cafe/Canteen,"35 Cornmarket Street, Oxford, Oxfordshire",OX1 3EZ,0,0,0
1576850,KFC Templars Square,Restaurant/Cafe/Canteen,"Unit 2D, Templars Shopping Park, Between Towns Road",OX4 3JP,0,5,5
1728332,Khalifa Kebab,Restaurant/Cafe/Canteen,"122 Cowley Road, Oxford, Oxfordshire",OX4 1JE,0,5,0
1751072,Kibou Oxford,Restaurant/Cafe/Canteen,"11 Little Clarendon Street, Oxford, Oxfordshire",OX1 2HP,0,0,0
